id_employee,date,points
19175,2025-05-02,9.0
19175,2025-05-03,9.0
19175,2025-05-06,3.0
19175,2025-05-07,27.0
19175,2025-05-10,9.0
19175,2025-05-11,9.0
19175,2025-05-14,3.0
19175,2025-05-15,3.0
19175,2025-05-18,9.0
19175,2025-05-19,3.0
19175,2025-05-22,3.0
19175,2025-05-23,9.0
19399,2025-05-04,3.0
19399,2025-05-05,3.0
19399,2025-05-08,3.0
19399,2025-05-12,3.0
19399,2025-05-13,3.0
19399,2025-05-16,3.0
19399,2025-05-17,3.0
19399,2025-05-20,3.5767195767195767
19399,2025-05-21,3.0
19553,2025-05-13,3.0
19559,2025-05-02,3.0
19559,2025-05-03,3.221052631578947
19559,2025-05-06,3.0
19559,2025-05-07,3.0
19559,2025-05-26,3.219814241486068
19559,2025-05-27,3.0
19559,2025-05-30,9.0
19559,2025-05-31,3.0
19663,2025-05-05,31.736842105263158
19663,2025-05-06,54.0
19663,2025-05-07,54.0
19663,2025-05-12,68.25260826135596
19663,2025-05-13,54.0
19663,2025-05-14,59.991262741834824
19663,2025-05-15,54.0
19663,2025-05-16,54.0
19663,2025-05-19,54.0
19663,2025-05-20,68.25260826135596
19663,2025-05-21,54.0
19663,2025-05-22,2.9999999999999996
19663,2025-05-23,54.0
19663,2025-05-26,58.515441574860034
19663,2025-05-27,9.0
19663,2025-05-28,59.28964213324595
19663,2025-05-29,27.0
19663,2025-05-30,54.0
19738,2025-05-05,27.0
19738,2025-05-06,54.0
19738,2025-05-07,83.42071048106364
19738,2025-05-12,46.22905080071991
19738,2025-05-13,54.0
19738,2025-05-14,54.0
19738,2025-05-15,54.0
19738,2025-05-16,54.0
19741,2025-05-05,4.2370632463511715
19741,2025-05-06,3.0
19741,2025-05-07,3.0
19741,2025-05-12,3.0
19741,2025-05-13,3.0
19741,2025-05-14,27.0
19741,2025-05-15,27.0
19741,2025-05-16,3.0
19741,2025-05-19,3.0
19741,2025-05-21,2.7333333333333334
19741,2025-05-22,3.0
19741,2025-05-23,9.0
19741,2025-05-26,3.0
19741,2025-05-27,3.175356037151703
19741,2025-05-28,3.0
19741,2025-05-29,3.0
19741,2025-05-30,54.0
19746,2025-05-05,3.0
19746,2025-05-06,3.0
19746,2025-05-07,9.0
19746,2025-05-12,3.0
19746,2025-05-13,27.0
19746,2025-05-14,27.0
19746,2025-05-15,27.0
19746,2025-05-16,3.0
19746,2025-05-19,3.0
19746,2025-05-20,27.0
19746,2025-05-21,27.0
19746,2025-05-22,27.0
19746,2025-05-23,27.0
19746,2025-05-24,27.0
19746,2025-05-25,54.0
19746,2025-05-26,54.0
19746,2025-05-27,54.0
19746,2025-05-28,40.5
19746,2025-05-29,27.0
19746,2025-05-30,27.0
19746,2025-05-31,27.0
19772,2025-05-16,2.0
19825,2025-05-04,54.0
19825,2025-05-05,54.0
19825,2025-05-08,54.0
19825,2025-05-12,54.0
19825,2025-05-13,54.0
19825,2025-05-16,54.0
19825,2025-05-17,54.0
19825,2025-05-20,54.0
19825,2025-05-21,54.0
19825,2025-05-24,54.0
19825,2025-05-25,54.0
19825,2025-05-28,54.0
19825,2025-05-29,54.0
19893,2025-05-04,9.0
