year,month,id_employee,sick_count,holidays_count
2025,5,19175,0.0,4.0
2025,6,19175,0.0,4.0
2025,8,19175,0.0,14.0
2025,1,19236,9.0,0.0
2025,3,19236,5.0,0.0
2025,4,19236,8.0,0.0
2025,5,19236,0.0,3.0
2025,6,19236,0.0,10.0
2025,8,19236,0.0,9.0
2025,1,19291,5.0,0.0
2025,5,19291,0.0,3.0
2025,6,19291,0.0,10.0
2025,8,19291,0.0,9.0
2025,2,19399,8.0,0.0
2025,3,19399,13.0,0.0
2025,4,19399,1.0,4.0
2025,5,19399,3.0,0.0
2025,6,19399,1.0,0.0
2025,7,19399,0.0,8.0
2025,3,19559,4.0,0.0
2025,5,19559,0.0,8.0
2025,8,19559,0.0,14.0
2025,3,19663,0.0,6.0
2025,6,19663,0.0,1.0
2025,7,19663,0.0,9.0
2025,10,19663,0.0,7.0
2025,5,19738,0.0,10.0
2025,9,19738,0.0,14.0
2025,4,19741,0.0,5.0
2025,9,19741,0.0,16.0
2025,10,19741,0.0,5.0
2025,7,19746,0.0,9.0
2025,8,19746,0.0,1.0
2025,9,19746,0.0,14.0
2025,3,19825,0.0,4.0
2025,7,19825,0.0,8.0
2025,4,19893,0.0,8.0
2025,9,19893,0.0,14.0
2025,5,19910,0.0,4.0
2025,7,19910,0.0,5.0
2025,8,19910,0.0,6.0
2025,6,19912,0.0,8.0
2025,9,19912,0.0,14.0
2025,3,19931,0.0,4.0
2025,7,19931,0.0,8.0
2025,10,19931,0.0,5.0
2025,11,19931,0.0,2.0
2025,3,19934,0.0,4.0
2025,6,19934,0.0,8.0
2025,9,19934,7.0,7.0
2025,1,19937,11.0,0.0
2025,4,19937,0.0,4.0
2025,7,19937,0.0,3.0
2025,8,19937,0.0,8.0
2025,3,19940,0.0,4.0
2025,8,19940,0.0,14.0
2025,2,19945,0.0,2.0
2025,3,19945,0.0,2.0
2025,8,19945,0.0,8.0
2025,9,19945,0.0,6.0
2025,7,19956,0.0,15.0
2025,6,19958,0.0,4.0
2025,7,19958,0.0,7.0
2025,9,19958,6.0,0.0
2025,10,19958,0.0,7.0
2025,4,20145,0.0,5.0
2025,8,20145,0.0,14.0
